Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-07,13.22,13.61,12.9,12.94,1509730,-0.28,0.71,-2.16,5.49,0.35,13.4,13.66,0.12,0.02,0.11,512998609,9.94,0.0,53.33,-1.0,-53.33,Weak Sell Signal,15.44,13.4,11.35,0.31,45.34,Target Volume,Expected Range,12.69,Absent or Weak Trend
2023-07-06,13.63,13.67,13.08,13.33,941929,-0.3,0.59,-2.25,4.45,0.3,13.44,13.68,0.16,-0.01,0.16,514508339,9.04,1.67,55.0,-1.0,-53.33,Weak Sell Signal,15.54,13.44,11.33,0.31,46.12,Target Volume,Expected Range,12.74,Absent or Weak Trend
2023-07-05,13.76,13.98,13.48,13.76,3076584,0.0,0.49,0.0,3.6,0.25,13.47,13.69,0.16,-0.05,0.2,515450268,6.96,0.0,56.67,-1.0,-56.67,Weak Sell Signal,15.64,13.47,11.3,0.32,46.99,Target Volume,Expected Range,12.8,Absent or Weak Trend
2023-07-03,13.22,13.98,13.22,13.96,623500,0.74,0.76,5.3,5.48,0.38,13.5,13.69,0.11,-0.1,0.21,518526852,6.96,1.67,58.33,-1.0,-56.67,Weak Sell Signal,15.75,13.5,11.26,0.33,47.4,Target Volume,Expected Range,12.9,Absent or Weak Trend
2023-06-30,13.5,13.53,13.17,13.24,956903,-0.26,0.36,-1.96,2.72,0.18,13.54,13.68,0.03,-0.15,0.18,517903352,9.7,0.0,60.0,-1.0,-60.0,Weak Sell Signal,15.85,13.54,11.22,0.34,45.72,Target Volume,Expected Range,13.0,Absent or Weak Trend
2023-06-29,12.85,13.52,12.85,13.4,782483,0.55,0.68,4.1,5.04,0.34,13.57,13.69,-0.01,-0.2,0.19,518860255,9.73,1.67,61.67,-1.0,-60.0,Weak Sell Signal,15.95,13.57,11.2,0.35,46.04,Target Volume,Expected Range,13.06,Absent or Weak Trend
2023-06-28,13.29,13.37,12.82,12.92,776337,-0.37,0.55,-2.86,4.26,0.28,13.62,13.7,-0.06,-0.24,0.18,518077772,10.68,3.33,63.33,-1.0,-60.0,Weak Sell Signal,16.07,13.62,11.16,0.36,44.9,Target Volume,Expected Range,13.11,Absent or Weak Trend
2023-06-27,13.1,13.44,12.64,13.35,1299884,0.25,0.8,1.87,5.99,0.4,13.67,13.73,-0.09,-0.29,0.2,518854109,10.68,0.0,65.0,-1.0,-65.0,Weak Sell Signal,16.2,13.67,11.14,0.37,45.75,Target Volume,Expected Range,13.15,Absent or Weak Trend
2023-06-26,12.61,13.24,12.61,13.2,1203862,0.59,0.63,4.47,4.77,0.32,13.71,13.74,-0.16,-0.34,0.18,517554225,11.87,1.67,66.67,-1.0,-65.0,Weak Sell Signal,16.3,13.71,11.13,0.38,45.4,Target Volume,Expected Range,13.2,Absent or Weak Trend
2023-06-23,12.58,12.92,12.53,12.63,1422776,0.05,0.39,0.4,3.09,0.2,13.76,13.76,-0.24,-0.38,0.15,516350363,13.78,3.33,68.33,-1.0,-65.0,Weak Sell Signal,16.41,13.76,11.11,0.38,44.02,Target Volume,Expected Range,13.22,Absent or Weak Trend
2023-06-22,12.53,12.95,12.11,12.76,1503392,0.23,0.84,1.8,6.58,0.42,13.82,13.8,-0.27,-0.42,0.15,517773139,13.78,5.0,70.0,-1.0,-65.0,Weak Sell Signal,16.52,13.82,11.12,0.39,44.27,Target Volume,Expected Range,13.21,Absent or Weak Trend
2023-06-21,12.22,12.6,11.98,12.56,1218007,0.34,0.62,2.71,4.93,0.31,13.87,13.84,-0.32,-0.45,0.13,516269747,15.89,6.67,71.67,-1.0,-65.0,Weak Sell Signal,16.62,13.87,11.13,0.4,43.79,Target Volume,Expected Range,13.2,Absent or Weak Trend
2023-06-20,12.48,12.6,12.12,12.28,1781533,-0.2,0.48,-1.63,3.91,0.24,13.93,13.88,-0.37,-0.49,0.12,515051740,15.27,0.0,73.33,-1.0,-73.33,Strong Sell Signal,16.7,13.93,11.16,0.4,43.11,Target Volume,Expected Range,13.15,Absent or Weak Trend
2023-06-16,12.6,12.61,12.33,12.45,1751949,-0.15,0.28,-1.2,2.25,0.14,13.99,13.93,-0.39,-0.52,0.13,516833273,14.35,0.0,75.0,-1.0,-75.0,Strong Sell Signal,16.76,13.99,11.21,0.4,43.42,Target Volume,Expected Range,13.12,Absent or Weak Trend
2023-06-15,12.15,12.42,12.12,12.42,1042334,0.27,0.3,2.17,2.42,0.15,14.05,13.98,-0.43,-0.55,0.12,515081324,15.47,0.0,76.67,-1.0,-76.67,Strong Sell Signal,16.87,14.05,11.24,0.4,43.35,Target Volume,Expected Range,13.1,Absent or Weak Trend
2023-06-14,12.61,12.87,12.15,12.2,1301155,-0.41,0.72,-3.36,5.9,0.36,14.13,14.04,-0.47,-0.58,0.11,514038990,15.34,0.0,78.33,-1.0,-78.33,Strong Sell Signal,17.01,14.13,11.25,0.41,42.83,Target Volume,Expected Range,13.06,Absent or Weak Trend
2023-06-13,12.3,12.68,12.3,12.47,1214423,0.17,0.38,1.36,3.05,0.19,14.21,14.1,-0.49,-0.61,0.12,515340145,16.45,0.0,80.0,-1.0,-80.0,Strong Sell Signal,17.13,14.21,11.29,0.41,43.31,Target Volume,Expected Range,13.02,Absent or Weak Trend
2023-06-12,12.14,12.44,12.01,12.28,1785013,0.14,0.43,1.14,3.5,0.21,14.28,14.16,-0.54,-0.64,0.1,514125722,17.85,0.0,81.67,-1.0,-81.67,Strong Sell Signal,17.25,14.28,11.31,0.42,42.87,Target Volume,Expected Range,12.96,Absent or Weak Trend
2023-06-09,12.33,12.36,11.89,12.02,1870666,-0.31,0.47,-2.58,3.95,0.24,14.38,14.22,-0.57,-0.66,0.09,512340709,18.29,0.0,83.33,-1.0,-83.33,Strong Sell Signal,17.45,14.38,11.31,0.43,42.26,Target Volume,Expected Range,12.88,Absent or Weak Trend
2023-06-08,12.85,12.85,12.26,12.43,1999497,-0.42,0.58,-3.38,4.71,0.29,14.48,14.29,-0.58,-0.68,0.1,514211375,16.77,0.0,85.0,-1.0,-85.0,Strong Sell Signal,17.62,14.48,11.33,0.43,42.97,Target Volume,Expected Range,12.79,Absent or Weak Trend
